polarity	aspect	term	term_pos	sentence	input
positive	FOOD#QUALITY	rolls	157:162	We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.	rolls 157:162 FOOD#QUALITY
positive	FOOD#QUALITY	Prix Fixe menu	4:18	The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).	Prix Fixe menu 4:18 FOOD#QUALITY
positive	FOOD#QUALITY	scallops	11:19	We had the scallops as an appetizer and they were delicious and the sauce was wonderful.	scallops 11:19 FOOD#QUALITY
positive	AMBIENCE#GENERAL	Ambience	0:8	Ambience is so cute and quaint, good for business although we were there on vacation.	Ambience 0:8 AMBIENCE#GENERAL
positive	AMBIENCE#GENERAL	late night atmosphere	34:55	But the best part about LS is the late night atmosphere, delightfully free of the BTs.	late night atmosphere 34:55 AMBIENCE#GENERAL
positive	FOOD#QUALITY	pear torte	22:32	The dessert (we had a pear torte) was good - but, once again, the staff was unable to provide appropriate drink suggestions.	pear torte 22:32 FOOD#QUALITY
positive	FOOD#QUALITY	spicy Italian cheese	70:90	The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.	spicy Italian cheese 70:90 FOOD#QUALITY
positive	FOOD#QUALITY	filet	34:39	I had fish and my husband had the filet - both of which exceeded our expectations.	filet 34:39 FOOD#QUALITY
negative	FOOD#QUALITY	quesadilla	3:13	My quesadilla tasted like it had been made by a three-year old with no sense of proportion or flavor.	quesadilla 3:13 FOOD#QUALITY
negative	RESTAURANT#MISCELLANEOUS	place	5:10	This place is incredibly tiny.	place 5:10 RESTAURANT#MISCELLANEOUS
positive	FOOD#QUALITY	food	12:16	I found the food to be outstanding, particulary the salmon dish I had.	food 12:16 FOOD#QUALITY
positive	SERVICE#GENERAL	Service	0:7	Service was prompt and courteous.	Service 0:7 SERVICE#GENERAL
positive	FOOD#QUALITY	bagels	10:16	delicious bagels, especially when right out of the oven.	bagels 10:16 FOOD#QUALITY
negative	RESTAURANT#GENERAL	restaurant	20:30	I have never left a restaurant feeling as if i was abused, and wasted my hard earned money.	restaurant 20:30 RESTAURANT#GENERAL
positive	FOOD#QUALITY	french fries	103:115	My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.	french fries 103:115 FOOD#QUALITY
positive	FOOD#QUALITY	rice dishes	21:32	I also recommend the rice dishes or the different varieties of congee (rice porridge).	rice dishes 21:32 FOOD#QUALITY
positive	AMBIENCE#GENERAL	ambience	55:63	I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.	ambience 55:63 AMBIENCE#GENERAL
positive	RESTAURANT#GENERAL	place	27:32	This is by far my favorite place in the neighborhood.	place 27:32 RESTAURANT#GENERAL
positive	FOOD#QUALITY	food	80:84	The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.	food 80:84 FOOD#QUALITY
negative	SERVICE#GENERAL	waiter	76:82	I was there for brunch recently, and we were tag teamed by a waitress and a waiter.	waiter 76:82 SERVICE#GENERAL
negative	SERVICE#GENERAL	svc	4:7	The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!	svc 4:7 SERVICE#GENERAL
positive	FOOD#QUALITY	seafood	59:66	Mermaid Inn is an overall good restaurant with really good seafood.	seafood 59:66 FOOD#QUALITY
positive	DRINKS#QUALITY	drink	5:10	Good drink.	drink 5:10 DRINKS#QUALITY
negative	FOOD#QUALITY	rolls	102:107	It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.	rolls 102:107 FOOD#QUALITY
positive	RESTAURANT#GENERAL	place	5:10	This place is worth an one-hour drive.	place 5:10 RESTAURANT#GENERAL
neutral	SERVICE#GENERAL	wait	80:84	We did arrive late for our reservation so I can not complain too much about the wait for a table.	wait 80:84 SERVICE#GENERAL
positive	RESTAURANT#GENERAL	Indian Restaurant	5:22	Best Indian Restaurant in the City	Indian Restaurant 5:22 RESTAURANT#GENERAL
negative	FOOD#QUALITY	dhosas	49:55	I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.	dhosas 49:55 FOOD#QUALITY
neutral	FOOD#QUALITY	food	4:8	The food was ok and fair nothing to go crazy.	food 4:8 FOOD#QUALITY
neutral	SERVICE#GENERAL	service	39:46	overpriced japanese food with mediocre service	service 39:46 SERVICE#GENERAL
positive	RESTAURANT#MISCELLANEOUS	VT's	28:32	I take all my NYC guests to VT's.	VT's 28:32 RESTAURANT#MISCELLANEOUS
negative	FOOD#QUALITY	seabass	59:66	The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.	seabass 59:66 FOOD#QUALITY
positive	DRINKS#QUALITY	wine by the glass	9:26	even the wine by the glass was good.	wine by the glass 9:26 DRINKS#QUALITY
negative	RESTAURANT#GENERAL	restaurant	18:28	not sure why this restaurant would be rated that highly.	restaurant 18:28 RESTAURANT#GENERAL
positive	FOOD#QUALITY	food	6:10	Great food, great prices, great service.	food 6:10 FOOD#QUALITY
positive	FOOD#QUALITY	food	42:46	The portions are small but being that the food was so good makes up for that.	food 42:46 FOOD#QUALITY
negative	FOOD#QUALITY	Thai	27:31	If you want good authentic Thai this place is not the place to go.	Thai 27:31 FOOD#QUALITY
positive	FOOD#QUALITY	food	4:8	The food tasted very good.	food 4:8 FOOD#QUALITY
negative	SERVICE#GENERAL	customer service	49:65	I was here a few weeks back and we had the worst customer service experience at a restaurant ever.	customer service 49:65 SERVICE#GENERAL
negative	RESTAURANT#GENERAL	place	12:17	Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.	place 12:17 RESTAURANT#GENERAL
positive	FOOD#QUALITY	food	4:8	The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.	food 4:8 FOOD#QUALITY
negative	FOOD#QUALITY	food	33:37	I was speechless by the horrible food.	food 33:37 FOOD#QUALITY
positive	FOOD#QUALITY	Dal Bukhara	8:19	and yes Dal Bukhara is so dam good and so are all the kababs.	Dal Bukhara 8:19 FOOD#QUALITY
positive	SERVICE#GENERAL	Service	0:7	Service here was great, food was fantastic.	Service 0:7 SERVICE#GENERAL
positive	FOOD#QUALITY	pizza	4:9	The pizza was great.	pizza 4:9 FOOD#QUALITY
positive	AMBIENCE#GENERAL	Raga's	0:6	Raga's is a romantic, cozy restaurant.	Raga's 0:6 AMBIENCE#GENERAL
positive	FOOD#QUALITY	food	16:20	All in all, the food was great (except for the dessserts).	food 16:20 FOOD#QUALITY
positive	FOOD#QUALITY	lobster	92:99	I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.	lobster 92:99 FOOD#QUALITY
positive	SERVICE#GENERAL	service	4:11	The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.	service 4:11 SERVICE#GENERAL
positive	AMBIENCE#GENERAL	interior decor	29:43	this little place has a cute interior decor and affordable city prices.	interior decor 29:43 AMBIENCE#GENERAL
positive	FOOD#QUALITY	anti-pasta	4:14	The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.	anti-pasta 4:14 FOOD#QUALITY
positive	FOOD#QUALITY	pizza	21:26	Other guests enjoyed pizza, santa fe chopped salad and fish and chips.	pizza 21:26 FOOD#QUALITY
positive	AMBIENCE#GENERAL	main dining room	29:45	When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.	main dining room 29:45 AMBIENCE#GENERAL
positive	AMBIENCE#GENERAL	decor	44:49	Excellent dumplings served amid clean, chic decor.	decor 44:49 AMBIENCE#GENERAL
positive	AMBIENCE#GENERAL	music	69:74	We ate out in the back patio, which is worth it as it's cool and the music is hear well there.	music 69:74 AMBIENCE#GENERAL
positive	SERVICE#GENERAL	service	35:42	Interesting selection, good wines, service fine, fun decor.	service 35:42 SERVICE#GENERAL
positive	FOOD#STYLE_OPTIONS	specials menus	15:29	The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.	specials menus 15:29 FOOD#STYLE_OPTIONS
positive	FOOD#STYLE_OPTIONS	bruschettas	23:34	The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.	bruschettas 23:34 FOOD#STYLE_OPTIONS
positive	DRINKS#PRICES	house champagne	59:74	Great wine selection, Gigondas is worth the price, and the house champagne is a great value.	house champagne 59:74 DRINKS#PRICES
positive	FOOD#QUALITY	sushi	63:68	Great friendly service, Fast seating, Fast Delivery, Excellent sushi.	sushi 63:68 FOOD#QUALITY
positive	FOOD#PRICES	food	4:8	The food is so cheap and the waiters are nice.	food 4:8 FOOD#PRICES
positive	FOOD#STYLE_OPTIONS	food	4:8	The food is wonderful, tasty and filling, and the service is professional and friendly.	food 4:8 FOOD#STYLE_OPTIONS
positive	AMBIENCE#GENERAL	atmosphere	10:20	Excellent atmosphere, delicious dishes good and friendly service.	atmosphere 10:20 AMBIENCE#GENERAL
negative	RESTAURANT#MISCELLANEOUS	place	12:17	Not a great place for family or general dining.	place 12:17 RESTAURANT#MISCELLANEOUS
positive	RESTAURANT#MISCELLANEOUS	place	13:18	It's a great place to order from or sit-in.	place 13:18 RESTAURANT#MISCELLANEOUS
positive	SERVICE#GENERAL	waiters	56:63	Each time we've been, the front of house staff (not the waiters - they're fantastic - but the people who greet and seat you) has been so hideous to us that were it not for the exceptional fish dishes I would never return. 	waiters 56:63 SERVICE#GENERAL
positive	FOOD#QUALITY	Hot Dogs	6:14	Great Hot Dogs!	Hot Dogs 6:14 FOOD#QUALITY
positive	DRINKS#QUALITY	drinks	4:10	The drinks are great, especially when made by Raymond.	drinks 4:10 DRINKS#QUALITY
positive	FOOD#QUALITY	food	21:25	Great service, great food.	food 21:25 FOOD#QUALITY
positive	FOOD#QUALITY	Edamame pureed	16:30	I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).	Edamame pureed 16:30 FOOD#QUALITY
positive	FOOD#QUALITY	Food	0:4	Food took some time to prepare, all worth waiting for.	Food 0:4 FOOD#QUALITY
positive	FOOD#QUALITY	dishes	42:48	The menu is limited but almost all of the dishes are excellent.	dishes 42:48 FOOD#QUALITY
positive	SERVICE#GENERAL	Usha	8:12	Ask for Usha, the nicest bartender in manhattan.	Usha 8:12 SERVICE#GENERAL
positive	FOOD#QUALITY	dishes	85:91	She was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about Indian food.	dishes 85:91 FOOD#QUALITY
negative	SERVICE#GENERAL	waitress	55:63	"I was shocked that my friends wanted to stay after the waitress said, ""can I help you"" and ""how many are in your party."""	waitress 55:63 SERVICE#GENERAL
positive	AMBIENCE#GENERAL	shows	42:47	I loved everythig about it-especially the shows and actors.	shows 42:47 AMBIENCE#GENERAL
positive	SERVICE#GENERAL	service	43:50	They have it all -- great price, food, and service.	service 43:50 SERVICE#GENERAL
negative	FOOD#QUALITY	food	55:59	I attended a holiday dinner at the restaurant, and the food was majorly disappointing.	food 55:59 FOOD#QUALITY
negative	SERVICE#GENERAL	waitress	19:27	At this point, the waitress comes over and asks us if everything was okay, I was literally so shocked that I was speechless and didn't say anything, and guess what, the waitress WALKED away.	waitress 19:27 SERVICE#GENERAL
positive	FOOD#STYLE_OPTIONS	pizza	40:45	the crust was imazingly cooked well and pizza was fully loaded:):):)	pizza 40:45 FOOD#STYLE_OPTIONS
positive	FOOD#STYLE_OPTIONS	japanese food	110:123	The rolls are creative and I have yet to find another sushi place that serves up more inventive yet delicious japanese food.	japanese food 110:123 FOOD#STYLE_OPTIONS
positive	FOOD#QUALITY	food	12:16	Even if the food wasn't this good, the garden is a great place to sit outside and relax.	food 12:16 FOOD#QUALITY
neutral	LOCATION#GENERAL	view	47:51	The high prices you're going to pay is for the view not for the food.	view 47:51 LOCATION#GENERAL
positive	DRINKS#QUALITY	drinks	62:68	The food is good, especially their more basic dishes, and the drinks are delicious.	drinks 62:68 DRINKS#QUALITY
negative	FOOD#QUALITY	menu	51:55	I expected quite a bit more from such an expensive menu.	menu 51:55 FOOD#QUALITY
negative	SERVICE#GENERAL	waiter	42:48	We also asked for Hooka six times and the waiter kept telling us one minute and never returning with the Hooka.	waiter 42:48 SERVICE#GENERAL
positive	FOOD#QUALITY	food	100:104	We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.	food 100:104 FOOD#QUALITY
positive	FOOD#QUALITY	pork souvlaki	13:26	But the best pork souvlaki I ever had is the main thing.	pork souvlaki 13:26 FOOD#QUALITY
positive	RESTAURANT#GENERAL	fresh restaurant	0:16	fresh restaurant was amazing........ food was delicious and of course fresh.	fresh restaurant 0:16 RESTAURANT#GENERAL
positive	AMBIENCE#GENERAL	Restaurant	27:37	Possibly the Most Romantic Restaurant in the City	Restaurant 27:37 AMBIENCE#GENERAL
positive	FOOD#QUALITY	foie gras terrine with figs	42:69	The duck confit is always amazing and the foie gras terrine with figs was out of this world.	foie gras terrine with figs 42:69 FOOD#QUALITY
positive	RESTAURANT#MISCELLANEOUS	establishment	53:66	An awesome organic dog, and a conscious eco friendly establishment.	establishment 53:66 RESTAURANT#MISCELLANEOUS
neutral	FOOD#QUALITY	Food	0:4	Food was very good, but not what I would consider out of this world.	Food 0:4 FOOD#QUALITY
positive	FOOD#QUALITY	food	74:78	This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.	food 74:78 FOOD#QUALITY
positive	AMBIENCE#GENERAL	feel	28:32	The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.	feel 28:32 AMBIENCE#GENERAL
negative	SERVICE#GENERAL	manager	17:24	After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.	manager 17:24 SERVICE#GENERAL
negative	SERVICE#GENERAL	hostess	4:11	The hostess and the waitress were incredibly rude and did everything they could to rush us out.	hostess 4:11 SERVICE#GENERAL
positive	FOOD#QUALITY	jelly fish	16:26	I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.	jelly fish 16:26 FOOD#QUALITY
positive	FOOD#PRICES	spicy Tuna roll	4:19	The spicy Tuna roll is huge and probably the best that I've had at this price range.	spicy Tuna roll 4:19 FOOD#PRICES
positive	SERVICE#GENERAL	people	4:10	The people that work there are always so friendly you forget you are in New York sometimes.	people 4:10 SERVICE#GENERAL
positive	SERVICE#GENERAL	service	31:38	Great food, great decor, great service.	service 31:38 SERVICE#GENERAL
positive	SERVICE#GENERAL	Service	0:7	Service- friendly and attentive.	Service 0:7 SERVICE#GENERAL
positive	FOOD#QUALITY	food	68:72	This is my first time writing a review for a restaurant because the food and service was excellent.	food 68:72 FOOD#QUALITY
positive	AMBIENCE#GENERAL	place	70:75	The staff was accomodating, the food was absolutely delicious and the place is lovely.	place 70:75 AMBIENCE#GENERAL
positive	RESTAURANT#GENERAL	Leon	0:4	Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.	Leon 0:4 RESTAURANT#GENERAL
positive	SERVICE#GENERAL	service	20:27	Great food, amazing service, this place is a class act.	service 20:27 SERVICE#GENERAL
negative	FOOD#QUALITY	food	4:8	The food was lousy - too sweet or too salty and the portions tiny.	food 4:8 FOOD#QUALITY
positive	RESTAURANT#GENERAL	place	5:10	This place is a must visit!	place 5:10 RESTAURANT#GENERAL
positive	FOOD#QUALITY	Caesar Salad	20:32	Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.	Caesar Salad 20:32 FOOD#QUALITY
positive	AMBIENCE#GENERAL	outside table	39:52	If the weather is nice, try to snag an outside table.	outside table 39:52 AMBIENCE#GENERAL
positive	AMBIENCE#GENERAL	belly dancing show	23:41	We were drawn into the belly dancing show that captivated the crowd.	belly dancing show 23:41 AMBIENCE#GENERAL
positive	AMBIENCE#GENERAL	place	4:9	The place was nice and calm.	place 4:9 AMBIENCE#GENERAL
positive	FOOD#QUALITY	baba ganoush	56:68	Watch the talented belly dancers as you enjoy delicious baba ganoush that's more lemony than smoky.	baba ganoush 56:68 FOOD#QUALITY
positive	FOOD#QUALITY	pizza	64:69	Right off the L in Brooklyn this is a nice cozy place with good pizza.	pizza 64:69 FOOD#QUALITY
positive	FOOD#QUALITY	sushi	42:47	This place has ruined me for neighborhood sushi.	sushi 42:47 FOOD#QUALITY
positive	FOOD#QUALITY	bagels	6:12	Great bagels made the old-fashioned way.	bagels 6:12 FOOD#QUALITY
positive	SERVICE#GENERAL	service	24:31	Ambience is delightful, service impeccable.	service 24:31 SERVICE#GENERAL
positive	FOOD#QUALITY	modern Japanese	26:41	I've had my fair share of modern Japanese and this spot delivers.	modern Japanese 26:41 FOOD#QUALITY
positive	FOOD#PRICES	all you can eat sushi	8:29	$20 for all you can eat sushi cannot be beaten.	all you can eat sushi 8:29 FOOD#PRICES
negative	FOOD#STYLE_OPTIONS	Chicken teriyaki	0:16	Chicken teriyaki had tomato or pimentos on top??	Chicken teriyaki 0:16 FOOD#STYLE_OPTIONS
positive	DRINKS#PRICES	Wine list	0:9	Wine list is extensive without being over-priced.	Wine list 0:9 DRINKS#PRICES
positive	FOOD#QUALITY	food	18:22	Most importantly, food is excellent.	food 18:22 FOOD#QUALITY
positive	DRINKS#STYLE_OPTIONS	wine list	4:13	The wine list is also really nice.	wine list 4:13 DRINKS#STYLE_OPTIONS
positive	AMBIENCE#GENERAL	place	5:10	This place is so much fun.	place 5:10 AMBIENCE#GENERAL
negative	SERVICE#GENERAL	frontman	217:225	This guy refused to seat her and she left, followed shortly by the four of us, but not before I told him that in my 40 years of world travel, including Paris, that I had never seen such a display of bad behavior by a frontman in a restaurant.	frontman 217:225 SERVICE#GENERAL
negative	RESTAURANT#GENERAL	Casa La Femme	46:59	I literally just got back home after visiting Casa La Femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time.	Casa La Femme 46:59 RESTAURANT#GENERAL
positive	DRINKS#QUALITY	sake’s	4:10	The sake’s complimented the courses very well and is successfully easing me into the sake world.	sake’s 4:10 DRINKS#QUALITY
positive	FOOD#QUALITY	millennium roll	27:42	Excellent sashimi, and the millennium roll is beyond delicious.	millennium roll 27:42 FOOD#QUALITY
negative	FOOD#PRICES	dim sum	16:23	The rest of the dim sum, though pricey by Chinatown standards, is worth it.	dim sum 16:23 FOOD#PRICES
positive	AMBIENCE#GENERAL	atmoshere	6:15	Great atmoshere and worth every bit.	atmoshere 6:15 AMBIENCE#GENERAL
positive	RESTAURANT#GENERAL	establishment	5:18	This establishment is the real deal. 	establishment 5:18 RESTAURANT#GENERAL
positive	FOOD#QUALITY	meal	111:115	The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal	meal 111:115 FOOD#QUALITY
positive	SERVICE#GENERAL	service	50:57	The food is wonderful, tasty and filling, and the service is professional and friendly.	service 50:57 SERVICE#GENERAL
positive	FOOD#QUALITY	pizza	50:55	The food is amazing, rich pastas and fresh doughy pizza.	pizza 50:55 FOOD#QUALITY
negative	SERVICE#GENERAL	Delivery	0:8	Delivery can be spot on or lacking depending on the weather and the day of the week.	Delivery 0:8 SERVICE#GENERAL
positive	FOOD#QUALITY	congee	8:14	Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.	congee 8:14 FOOD#QUALITY
negative	SERVICE#GENERAL	staff	8:13	But the staff was so horrible to us.	staff 8:13 SERVICE#GENERAL
negative	RESTAURANT#PRICES	place	9:14	Yes, the place is classy and beautiful, but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while.	place 9:14 RESTAURANT#PRICES
positive	SERVICE#GENERAL	wait	18:22	There was a small wait, but shorter than I expected.	wait 18:22 SERVICE#GENERAL
positive	FOOD#PRICES	congee	45:51	And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).	congee 45:51 FOOD#PRICES
positive	RESTAURANT#MISCELLANEOUS	staff	14:19	The owner and staff are all Japanese as well and that adds to the entire ambiance.	staff 14:19 RESTAURANT#MISCELLANEOUS
positive	SERVICE#GENERAL	Service	0:7	Service was wonderful;	Service 0:7 SERVICE#GENERAL
neutral	RESTAURANT#MISCELLANEOUS	location	59:67	Not what I would expect for the price and prestige of this location.	location 59:67 RESTAURANT#MISCELLANEOUS
positive	AMBIENCE#GENERAL	ambience	4:12	The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.	ambience 4:12 AMBIENCE#GENERAL
positive	FOOD#QUALITY	French bistro fare	70:88	Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.	French bistro fare 70:88 FOOD#QUALITY
positive	DRINKS#STYLE_OPTIONS	wine list	18:27	great food, great wine list, great service in a great neighborhood...	wine list 18:27 DRINKS#STYLE_OPTIONS
negative	RESTAURANT#PRICES	restaurant	26:36	The only fallback on this restaurant is the prices.	restaurant 26:36 RESTAURANT#PRICES
positive	SERVICE#GENERAL	service	34:41	The food was excellent as well as service, however, I left The Four Seasons very dissappointed.	service 34:41 SERVICE#GENERAL
positive	FOOD#STYLE_OPTIONS	rolls	14:19	Good creative rolls!	rolls 14:19 FOOD#STYLE_OPTIONS
positive	FOOD#QUALITY	Sushi	16:21	Reliable, Fresh Sushi	Sushi 16:21 FOOD#QUALITY
positive	AMBIENCE#GENERAL	decor	53:58	Interesting selection, good wines, service fine, fun decor.	decor 53:58 AMBIENCE#GENERAL
positive	AMBIENCE#GENERAL	atmosphere	102:112	A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.	atmosphere 102:112 AMBIENCE#GENERAL
positive	FOOD#QUALITY	pizza	4:9	The pizza was pretty good and huge.	pizza 4:9 FOOD#QUALITY
negative	SERVICE#GENERAL	waitress	4:12	The waitress was not attentive at all.	waitress 4:12 SERVICE#GENERAL
positive	FOOD#QUALITY	food	5:9	Good food.	food 5:9 FOOD#QUALITY
negative	RESTAURANT#GENERAL	place	5:10	This place...god where do i begin.	place 5:10 RESTAURANT#GENERAL
positive	FOOD#QUALITY	spaghetti with Scallops and Shrimp	37:71	The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.	spaghetti with Scallops and Shrimp 37:71 FOOD#QUALITY
positive	AMBIENCE#GENERAL	place	4:9	The place was quiet and delightful.	place 4:9 AMBIENCE#GENERAL
positive	FOOD#QUALITY	food	4:8	The food is good, I can't lie.	food 4:8 FOOD#QUALITY
negative	AMBIENCE#GENERAL	place	142:147	The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.	place 142:147 AMBIENCE#GENERAL
negative	SERVICE#GENERAL	waitress	4:12	The waitress came to check in on us every few minutes, and began to clear the plates while half of us were still eating (a big pet peeve of mine that happens almost everywhere, so I try to ignore it).	waitress 4:12 SERVICE#GENERAL
positive	SERVICE#GENERAL	proprietor	31:41	The pizza is delicious and the proprietor is one of the nicest in NYC.	proprietor 31:41 SERVICE#GENERAL
positive	FOOD#QUALITY	chicken pasta	13:26	i love their chicken pasta cant remember the name but is sooo good	chicken pasta 13:26 FOOD#QUALITY
negative	AMBIENCE#GENERAL	space	4:9	The space kind of feels like an Alice in Wonderland setting, without it trying to be that.	space 4:9 AMBIENCE#GENERAL
negative	FOOD#QUALITY	food	12:16	Too bad the food wasn't of the same heritage.	food 12:16 FOOD#QUALITY
neutral	FOOD#QUALITY	food	16:20	Overall, decent food at a good price, with friendly people.	food 16:20 FOOD#QUALITY
positive	SERVICE#GENERAL	service	34:41	The atmosphere is unheralded, the service impecible, and the food magnificant.	service 34:41 SERVICE#GENERAL
negative	SERVICE#GENERAL	manager	29:36	The only problem is that the manager is a complete incompetent.	manager 29:36 SERVICE#GENERAL
positive	FOOD#QUALITY	selection of thin crust pizza	37:66	This is a nice pizza place with good selection of thin crust pizza including the Basil slice.	selection of thin crust pizza 37:66 FOOD#QUALITY
positive	AMBIENCE#GENERAL	resturant	28:37	The service is good and the resturant is clean.	resturant 28:37 AMBIENCE#GENERAL
positive	FOOD#QUALITY	good	63:67	sometimes i get bad food and bad service, sometimes i get good good and bad service.	good 63:67 FOOD#QUALITY
positive	FOOD#QUALITY	Indian food	6:17	Great Indian food	Indian food 6:17 FOOD#QUALITY
positive	FOOD#QUALITY	food	51:55	This is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .	food 51:55 FOOD#QUALITY
positive	SERVICE#GENERAL	service	26:33	Great Indian food and the service is incredible.	service 26:33 SERVICE#GENERAL
positive	SERVICE#GENERAL	waiter	74:80	It’s just you and your date and an occasional cute ‘excuse me’ before the waiter opens the little curtain to your booth!	waiter 74:80 SERVICE#GENERAL
positive	AMBIENCE#GENERAL	candle-light	49:61	Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.	candle-light 49:61 AMBIENCE#GENERAL
positive	SERVICE#GENERAL	service	23:30	Always good drinks and service is pretty good;	service 23:30 SERVICE#GENERAL
positive	FOOD#STYLE_OPTIONS	dishes	42:48	The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.	dishes 42:48 FOOD#STYLE_OPTIONS
negative	FOOD#PRICES	all you can eat deal	30:50	I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.	all you can eat deal 30:50 FOOD#PRICES
positive	RESTAURANT#GENERAL	place	30:35	I would highly recommend this place!	place 30:35 RESTAURANT#GENERAL
positive	RESTAURANT#GENERAL	place	5:10	This place, which is only a few months old, is perhaps Queens' biggest secret!	place 5:10 RESTAURANT#GENERAL
positive	DRINKS#STYLE_OPTIONS	wine selection	6:20	Great wine selection, Gigondas is worth the price, and the house champagne is a great value.	wine selection 6:20 DRINKS#STYLE_OPTIONS
